VARIABLES = "t_hat"
  "Max_u"
  "Max_p"
  "Max_Mach"
  "Max_omega_z"
  "Min_omega_z"
  "Max_nu_t"
  "delta_omega_0"
  "delta_theta_0"
  "Min_p"
  "Max_dudy"
  "Max_uv"
  "Max_TKE"
  "Int_TKE"
  "Int_Pk"
  "Int_duidxjtauij"
  "Int_dTKEdt"
  "Min_Q"
  "Max_Q"
  "Int_rhoE"
  "Int_KE1"
ZONE T="Vortex_DNS_Statistics_OpenSBLI"
I=301
4.0000000000000002e-01 5.8165801926275207e-01 1.0043254709565781e+00 1.1607989927736648e-01 3.2454099379389504e+01 -1.6343906841380307e-01 4.2739896699008247e-04 3.2104568709950305e+00 2.8679338174969056e+00 9.9678662257624318e-01 2.9840835843775626e+01 -1.2794980612337702e-02 3.6424520112517678e-02 1.1023228677788787e-03 7.1982498591173172e-01 3.7053516586267682e-01 1.8044809356098968e-01 -2.7080778884977269e+02 3.4003183642635287e+02 1.5652914005137058e+02 4.3446201490491271e-01
4.2000000000000004e-01 5.8971214825546625e-01 1.0045271061917760e+00 1.1767090771336326e-01 3.2224284137707215e+01 -1.7453522229383969e-01 4.4689881747889593e-04 3.3673630383235160e+00 3.0110859113886499e+00 9.9657200947744451e-01 2.8937126128406483e+01 -1.2687861516094103e-02 3.6453273748391961e-02 1.1387396406248979e-03 7.1349013143692774e-01 3.6721815676499170e-01 1.8369547763454042e-01 -2.5683324209867004e+02 3.5762159081443093e+02 1.5652909601347667e+02 4.3435068768967061e-01
4.4000000000000006e-01 5.9707603804610376e-01 1.0044577089968962e+00 1.1918402127042253e-01 3.1393246792835694e+01 -1.6375204429323947e-01 4.7910710673350094e-04 3.5259848581673801e+00 3.1591869631560030e+00 9.9616115076654199e-01 2.7972389901638767e+01 -1.2937345976587827e-02 3.6259406522747541e-02 1.1757819521438198e-03 7.0804512839239409e-01 3.6451345757572762e-01 1.8665657201433752e-01 -2.7064178675898194e+02 3.3698287080527302e+02 1.5652905115446481e+02 4.3424564345804606e-01
4.6000000000000008e-01 6.0458834277079831e-01 1.0044203522642032e+00 1.2073457585706977e-01 3.0393477297068351e+01 -1.6580914662867366e-01 5.7021308107009971e-04 3.6977295492148032e+00 3.3133850241662701e+00 9.9563366691908983e-01 2.6952403852286817e+01 -1.3030361833047325e-02 3.6224615219772563e-02 1.2133503874164142e-03 7.0326979197503769e-01 3.6249332692823716e-01 1.8880996600945374e-01 -2.3998295649575505e+02 3.4722673776614022e+02 1.5652901391308458e+02 4.3414311411553869e-01
4.7999999999999998e-01 6.1244527243288438e-01 1.0044562346691424e+00 1.2220832575177724e-01 2.9914785845757759e+01 -1.6660447399149034e-01 5.1804526313304440e-04 3.8633036388546387e+00 3.4742487141940370e+00 9.9503927061623443e-01 2.6439394755399224e+01 -1.3066364180161391e-02 3.6049511718484216e-02 1.2512330692765964e-03 6.9855478993013498e-01 3.6106354181054512e-01 1.8983878510824725e-01 -2.5653101489085458e+02 3.0978320813439694e+02 1.5652899008656601e+02 4.3403729649668626e-01
5.0000000000000000e-01 6.2059711832385323e-01 1.0045497860195740e+00 1.2375253169571945e-01 2.9313061831950819e+01 -1.5197319743015458e-01 5.3939170805868087e-04 4.0394939473892810e+00 3.6419071168033992e+00 9.9439104732491046e-01 2.5309284114756093e+01 -1.3053043225727571e-02 3.6055261154788840e-02 1.2892046592644230e-03 6.9359361547222687e-01 3.6008164680400645e-01 1.8965840704058226e-01 -2.3644646210068720e+02 3.1356561818468913e+02 1.5652897283799027e+02 4.3393505816866013e-01
5.2000000000000002e-01 6.2828013645471059e-01 1.0046158384387731e+00 1.2533163901803959e-01 2.8468751471629105e+01 -1.6705203038648586e-01 5.6087688243050223e-04 4.2427230772008677e+00 3.8165649742953938e+00 9.9394555181537547e-01 2.4628013781397382e+01 -1.3111551333370067e-02 3.6048680803758559e-02 1.3270030426680991e-03 6.8798682064566663e-01 3.5939484262126248e-01 1.8806670058637961e-01 -2.3166135592328180e+02 3.0519368190079240e+02 1.5652895775466109e+02 4.3383474417692142e-01
5.4000000000000004e-01 6.3500123301866762e-01 1.0048779700470347e+00 1.2668475572250362e-01 2.8051265585308641e+01 -1.9256522457565753e-01 5.8150431868444878e-04 4.4474982093913473e+00 3.9987372641052596e+00 9.9348855614373000e-01 2.3745710500850240e+01 -1.2894937907420485e-02 3.6254328664792397e-02 1.3643299976510387e-03 6.8121693764756441e-01 3.5881938077249365e-01 1.8491405923660034e-01 -2.2754155251666418e+02 2.9733051399584099e+02 1.5652892993713908e+02 4.3373120951326527e-01
5.6000000000000005e-01 6.4268718386422685e-01 1.0054087725227294e+00 1.2825838867320286e-01 2.7975126761994023e+01 -1.8791310860623633e-01 6.0225727830455402e-04 4.6392483297265752e+00 4.1885860195571682e+00 9.9288030446996345e-01 2.3082742048955005e+01 -1.2954208829137823e-02 3.6122775352394706e-02 1.4008756949622113e-03 6.7321406371888393e-01 3.5829571304716101e-01 1.8035257660461065e-01 -2.4006335735080205e+02 3.0907844186966133e+02 1.5652888065160533e+02 4.3362856724428595e-01
5.7999999999999996e-01 6.5101516008867966e-01 1.0057730475662348e+00 1.2991853550277288e-01 2.7749800143383759e+01 -2.0512372686382327e-01 6.2697841469390361e-04 4.8499664920085763e+00 4.3856696373517572e+00 9.9232182605298447e-01 2.2575996380542531e+01 -1.3111424088415919e-02 3.6166206163344893e-02 1.4363921354494779e-03 6.6426129785367549e-01 3.5774762848948882e-01 1.7461264497071999e-01 -2.2585337275237242e+02 3.0093324390768561e+02 1.5652883694648912e+02 4.3352783393577154e-01
