VARIABLES = "t_hat"
  "Max_u"
  "Max_p"
  "Max_Mach"
  "Max_omega_z"
  "Min_omega_z"
  "Max_nu_t"
  "delta_omega_0"
  "delta_theta_0"
  "Min_p"
  "Max_dudy"
  "Max_uv"
  "Max_TKE"
  "Int_TKE"
  "Int_Pk"
  "Int_duidxjtauij"
  "Int_dTKEdt"
  "Min_Q"
  "Max_Q"
  "Int_rhoE"
  "Int_KE1"
ZONE T="Vortex_DNS_Statistics_OpenSBLI"
I=301
9.0000000000000002e-01 7.3904480292520092e-01 1.0059920225825341e+00 1.4748088525380371e-01 2.5410069352079219e+01 -2.9176311709803726e-01 1.0874689921459614e-03 8.4851633868564935e+00 8.1745375627190828e+00 9.8302407229641708e-01 1.5986578996220500e+01 -1.3119512830813385e-02 3.4466300237458183e-02 1.7824018181275326e-03 4.3851691642699203e-01 3.0943548340811067e-01 4.5764011765068537e-02 -1.7450031638101694e+02 2.3632760364269868e+02 1.5652844027394059e+02 4.3204901479969576e-01
9.2000000000000015e-01 7.3822400024057311e-01 1.0060818488386114e+00 1.4744726030715563e-01 2.5366686398844617e+01 -2.7410781608248203e-01 1.0573954567934325e-03 8.7480047700968928e+00 8.4129735756769666e+00 9.8137206585505798e-01 1.5453332223366697e+01 -1.2825399679515837e-02 3.4335888083197701e-02 1.7910931405016317e-03 4.2533276951912563e-01 3.0381319406937712e-01 4.0788419923104474e-02 -1.7886460594514955e+02 2.2529305743200845e+02 1.5652841049767005e+02 4.3196360423315966e-01
9.4000000000000006e-01 7.3645934964540538e-01 1.0059685416032758e+00 1.4704945862119367e-01 2.5206692221949066e+01 -2.5103454205068632e-01 1.1247855518546218e-03 9.0005715967775508e+00 8.6462771520870216e+00 9.8101852149754198e-01 1.5331469956575834e+01 -1.2644368396307596e-02 3.4230717500210561e-02 1.7987361891573855e-03 4.1193428342473343e-01 2.9811189689469275e-01 3.5930336994856676e-02 -1.7791200134592574e+02 2.3389946621871198e+02 1.5652838478352385e+02 4.3188504157173613e-01
9.5999999999999996e-01 7.3881738845045208e-01 1.0052877956276951e+00 1.4753699009272750e-01 2.4919701992449898e+01 -2.8698808007419430e-01 1.0982079901251125e-03 9.2805252796375157e+00 8.8705425361375809e+00 9.8167920790274255e-01 1.5056653082171092e+01 -1.2523847656506534e-02 3.4136526639274085e-02 1.8055609051083592e-03 3.9772207891583794e-01 2.9235205285982707e-01 3.2847309616350955e-02 -1.6178425190361884e+02 2.2120301718776588e+02 1.5652836997990619e+02 4.3181206899155689e-01
9.8000000000000009e-01 7.3864264215493358e-01 1.0067146934574038e+00 1.4746086624480018e-01 2.4508684037416288e+01 -3.2006171508410980e-01 9.3430974425946398e-04 9.5877638732854500e+00 9.0918528493427484e+00 9.8096522833651045e-01 1.5050620382137977e+01 -1.2342165580031693e-02 3.4020921629633369e-02 1.8119111261936977e-03 3.8644705873444496e-01 2.8650798018205070e-01 3.0348748987665704e-02 -1.6504826358588349e+02 2.2564682501512161e+02 1.5652835654907972e+02 4.3172967914515603e-01
1.0000000000000000e+00 7.3880866406487600e-01 1.0088027863587625e+00 1.4739940598258552e-01 2.4659909449056741e+01 -3.1081322402874162e-01 9.8239143873881892e-04 9.8942375976480417e+00 9.3092581940907486e+00 9.7982189918295004e-01 1.4799873262900608e+01 -1.2205708344907000e-02 3.3879445951249781e-02 1.8176590937128852e-03 3.7533582898787260e-01 2.8062418489403068e-01 2.6787414530086099e-02 -1.6691958486206110e+02 2.1089507291254591e+02 1.5652833954042524e+02 4.3164776028498375e-01
1.0200000000000000e+00 7.3987790697441369e-01 1.0068637068282180e+00 1.4773329961549719e-01 2.4317755908669280e+01 -3.2346196902343122e-01 1.1847274526518019e-03 1.0164944420975806e+01 9.5184240796826973e+00 9.8063803761623602e-01 1.4744840856979001e+01 -1.1982548738263885e-02 3.3922070893209755e-02 1.8226847004231947e-03 3.6569293178935941e-01 2.7479390223002620e-01 2.4181651129598022e-02 -1.5251263524215682e+02 2.0643723195168079e+02 1.5652832887976589e+02 4.3158579866242852e-01
1.0400000000000000e+00 7.4276480994864691e-01 1.0061852418527399e+00 1.4819071404529346e-01 2.4170825654224071e+01 -3.4929952660249491e-01 9.9745302144795705e-04 1.0459948901380058e+01 9.7243176825352702e+00 9.8074553862286706e-01 1.4893137373980689e+01 -1.1956733697657160e-02 3.3667599934743123e-02 1.8274597040721303e-03 3.5599008353679851e-01 2.6904918722648541e-01 2.3925971426308052e-02 -1.6987202461954283e+02 2.0791782618037038e+02 1.5652832094491197e+02 4.3152314716494189e-01
1.0600000000000001e+00 7.4272145212772256e-01 1.0062694979526809e+00 1.4815163752362565e-01 2.4144147942928871e+01 -3.2770439277176000e-01 9.9798776102835414e-04 1.0728313050319244e+01 9.9275157566505658e+00 9.7950777552322066e-01 1.4886307794250355e+01 -1.2020413454787521e-02 3.3459781580233834e-02 1.8322800463566188e-03 3.4688874282603283e-01 2.6339679526927312e-01 2.3936792657602294e-02 -1.5042582567621011e+02 2.0052519051214398e+02 1.5652831544601474e+02 4.3144944877439728e-01
1.0800000000000001e+00 7.4142499061392253e-01 1.0061889997439899e+00 1.4795155670987140e-01 2.4165143596479858e+01 -3.2095340467140243e-01 9.9905415162679693e-04 1.1091218012601180e+01 1.0125548349088916e+01 9.7900013172078448e-01 1.4930046472154133e+01 -1.1917495469712710e-02 3.3323375972092853e-02 1.8369995297571381e-03 3.3826883407151026e-01 2.5787239791825389e-01 2.3040108821737987e-02 -1.5450135065668385e+02 1.9305935037378464e+02 1.5652830390561354e+02 4.3137933573055504e-01
1.1000000000000001e+00 7.4036418880913590e-01 1.0058394655553293e+00 1.4767840443537997e-01 2.4331784582953475e+01 -3.3204178041429289e-01 1.0227071277563080e-03 1.1402269337160590e+01 1.0319066032309498e+01 9.8009192907263731e-01 1.4897565608094077e+01 -1.1782440389913679e-02 3.2951608852356984e-02 1.8415550035250179e-03 3.3094077210322292e-01 2.5251522311709779e-01 2.3174094373014733e-02 -1.4693812972201764e+02 1.9815683977448538e+02 1.5652827156346169e+02 4.3132383256031703e-01
1.1200000000000001e+00 7.4164895092909311e-01 1.0061572542957580e+00 1.4807290177017604e-01 2.4391956579522798e+01 -3.6555272409617784e-01 1.0154374128508756e-03 1.1765304995173457e+01 1.0511006860203869e+01 9.8004838484860446e-01 1.5030404175707964e+01 -1.1616621851476074e-02 3.2731246368297384e-02 1.8463631002471486e-03 3.2393548846567816e-01 2.4729763840070293e-01 2.5065876509448429e-02 -1.4876660864472987e+02 2.0014999545625054e+02 1.5652824034355928e+02 4.3126153199024292e-01
1.1400000000000001e+00 7.4570170668808977e-01 1.0078969213954825e+00 1.4884020942286905e-01 2.4380337321558592e+01 -3.5203742085722561e-01 1.0236006834051046e-03 1.2136965374179052e+01 1.0702000850335848e+01 9.7912009390735466e-01 1.5061210923354597e+01 -1.1380829705831760e-02 3.2513880532765160e-02 1.8515707837814662e-03 3.1766098874159743e-01 2.4220574079532242e-01 2.6573691075828850e-02 -1.4554853964280724e+02 1.8802892668695463e+02 1.5652822684567954e+02 4.3118860413632942e-01
1.1599999999999999e+00 7.4863950900965182e-01 1.0085642664071115e+00 1.4955674652188952e-01 2.4249609693573511e+01 -3.6621649554964530e-01 1.0340495609222121e-03 1.2440145978640967e+01 1.0890080469369590e+01 9.7916024016316483e-01 1.5194992489802942e+01 -1.1211532382876038e-02 3.2438563549339855e-02 1.8569676681860531e-03 3.1299269279278874e-01 2.3728535979215384e-01 2.7534507233956718e-02 -1.4277071727566101e+02 1.8702956481170187e+02 1.5652821639845536e+02 4.3112180603922257e-01
1.1800000000000002e+00 7.5053726153187417e-01 1.0072839532698903e+00 1.4995210475996990e-01 2.4002649032106298e+01 -3.8371528212753192e-01 1.0942312164231656e-03 1.2741605718568383e+01 1.1076606573928210e+01 9.7933208174622066e-01 1.5055530445055698e+01 -1.1356228727766112e-02 3.2290233765111934e-02 1.8626146884542602e-03 3.0958240521137564e-01 2.3257006212572423e-01 2.9009137565927198e-02 -1.3376521248924476e+02 1.9069341773272618e+02 1.5652820796228659e+02 4.3106988920361644e-01
1.2000000000000000e+00 7.5463838956524554e-01 1.0066356488041230e+00 1.5079552598579599e-01 2.4291040181781323e+01 -3.6415950026954785e-01 1.0728756257707259e-03 1.2929013983914381e+01 1.1266059413545149e+01 9.7969033432009456e-01 1.5224511854378719e+01 -1.1365375860923253e-02 3.2120570035835364e-02 1.8686315202680048e-03 3.0531481991995768e-01 2.2806000979355928e-01 3.1556491891203832e-02 -1.3476361676550607e+02 1.7880343360007842e+02 1.5652820405204605e+02 4.3102267304432595e-01
1.2200000000000002e+00 7.5746510178060755e-01 1.0066052477571508e+00 1.5125979563936123e-01 2.3920515812706224e+01 -3.8861285388364375e-01 1.1102383629968025e-03 1.3162631275784923e+01 1.1458155718451117e+01 9.7914657845167352e-01 1.5219628322289244e+01 -1.1266140188543591e-02 3.1787867449077634e-02 1.8752596702788580e-03 3.0029517338201100e-01 2.2372388663095294e-01 3.4505914226042829e-02 -1.3039173119006136e+02 1.8326736740796679e+02 1.5652819979998566e+02 4.3096685500970311e-01
1.2400000000000000e+00 7.5753173413485797e-01 1.0064743028681851e+00 1.5149552503414324e-01 2.4025964044972461e+01 -3.4245797023557967e-01 1.1179245288670723e-03 1.3390850847613272e+01 1.1651500205719177e+01 9.7877940929883211e-01 1.5375240520516948e+01 -1.1161605130747227e-02 3.1648349353383315e-02 1.8823919422439480e-03 2.9699567613198657e-01 2.1955110082658966e-01 3.6568515039772459e-02 -1.2657384888626977e+02 1.8559019251626617e+02 1.5652819836931982e+02 4.3090782253238535e-01
1.2600000000000000e+00 7.5544629838047350e-01 1.0064166681924880e+00 1.5119276498249351e-01 2.4061757996041003e+01 -3.4753353325492742e-01 1.0947466693522470e-03 1.3575178310772605e+01 1.1847725997697779e+01 9.7916165652824338e-01 1.5334381779543858e+01 -1.1159607900190386e-02 3.1347037803469008e-02 1.8898838701193030e-03 2.9410425791035566e-01 2.1556134692213533e-01 3.8555067495424297e-02 -1.2323123246430008e+02 1.7946699071194146e+02 1.5652819522212170e+02 4.3085904730686486e-01
1.2800000000000000e+00 7.5668022586446360e-01 1.0070504027073122e+00 1.5103634844282912e-01 2.4135337572732087e+01 -3.6457761774135139e-01 1.1033669491133473e-03 1.3764922586233816e+01 1.2045510777842207e+01 9.7956359666882342e-01 1.5390528345290875e+01 -1.0934033657103621e-02 3.1060795986866580e-02 1.8978606828961100e-03 2.9082879134904682e-01 2.1173766811334149e-01 4.1480343392817164e-02 -1.2152493628689244e+02 1.7917768381965234e+02 1.5652817925119425e+02 4.3080908732929274e-01
1.3000000000000000e+00 7.5950356958825993e-01 1.0070323778201382e+00 1.5175730078994315e-01 2.3892152992812012e+01 -3.7415496540920667e-01 1.1187444775611019e-03 1.3962678323983729e+01 1.2244839571870516e+01 9.7909596792599851e-01 1.5423953407853148e+01 -1.0876376385327157e-02 3.0566946393698391e-02 1.9064774335071355e-03 2.8735995068915654e-01 2.0806343141998287e-01 4.4429961319721274e-02 -1.2649663401707376e+02 1.7660643665972918e+02 1.5652816106443461e+02 4.3075205186563659e-01
1.3199999999999998e+00 7.6404602988494053e-01 1.0080476330656274e+00 1.5277541123005928e-01 2.4091388774251023e+01 -3.9780485489979839e-01 1.1326202955292651e-03 1.4093025776404534e+01 1.2446600637727091e+01 9.7881938420537451e-01 1.5513351981642476e+01 -1.0871074414374425e-02 3.0148273267207724e-02 1.9155876252038443e-03 2.8479051605578382e-01 2.0453236423177995e-01 4.6567484337352145e-02 -1.1964875150762784e+02 1.7686992710633433e+02 1.5652813640458723e+02 4.3069077794164118e-01
1.3400000000000001e+00 7.6620936446440646e-01 1.0089062252334264e+00 1.5307470030114295e-01 2.4214477735070059e+01 -3.5008976126608765e-01 1.1324376767880475e-03 1.4257433613421837e+01 1.2651493849294850e+01 9.7852583572573182e-01 1.5609336536381804e+01 -1.0795922319061168e-02 2.9657444826468048e-02 1.9250675014138472e-03 2.8287320618431144e-01 2.0114187203552103e-01 4.8154301557226213e-02 -1.1125232431669593e+02 1.7772872836314750e+02 1.5652810517488516e+02 4.3063326180421241e-01
1.3599999999999999e+00 7.6718040355204220e-01 1.0074904186097002e+00 1.5324358728147686e-01 2.4086600692624664e+01 -3.7486613530640545e-01 1.1565345846320995e-03 1.4484982404500094e+01 1.2860515635628612e+01 9.7827753589740907e-01 1.5604025732588758e+01 -1.0700675033887932e-02 2.9417635095061574e-02 1.9348192637401590e-03 2.8123485776185514e-01 1.9788858536378218e-01 4.9184996726697162e-02 -1.1827632562456294e+02 1.7642657322597020e+02 1.5652809926680337e+02 4.3059146218376021e-01
1.3800000000000001e+00 7.7209327683110285e-01 1.0067311560719607e+00 1.5422958518454397e-01 2.4093278887071808e+01 -4.0686534981571942e-01 1.2353450656826265e-03 1.4689894107587781e+01 1.3073945167370265e+01 9.7902913191226770e-01 1.5271211664485493e+01 -1.0779513912327034e-02 2.8970912398889138e-02 1.9447602180603098e-03 2.7749054887711361e-01 1.9477803817598965e-01 5.0486230730031056e-02 -1.1690406434325375e+02 1.7840166039084198e+02 1.5652810727577827e+02 4.3055986916653594e-01
1.3999999999999999e+00 7.7606539122378559e-01 1.0071150745159649e+00 1.5487973711686687e-01 2.4319607228429636e+01 -3.8671937504286563e-01 1.2568593059546944e-03 1.4987681842831053e+01 1.3293056036216074e+01 9.7898917219824300e-01 1.5507176374870372e+01 -1.0762497606336829e-02 2.8351864679798146e-02 1.9550853662314714e-03 2.7397488514037377e-01 1.9178260863792421e-01 5.3397821098154892e-02 -1.1017018707846424e+02 1.7764387140402812e+02 1.5652811078257432e+02 4.3051848106055240e-01
1.4199999999999999e+00 7.7508371914783925e-01 1.0086387465000533e+00 1.5450014005602927e-01 2.4069486862852525e+01 -3.8683156184418516e-01 1.5214701150064486e-03 1.5215238158612125e+01 1.3518489277520683e+01 9.7790812917415115e-01 1.5169015267658869e+01 -1.0709898605056351e-02 2.7798285326859674e-02 1.9660293675922711e-03 2.7150413568958270e-01 1.8889825014602979e-01 5.4430065321040180e-02 -1.1190241851758984e+02 1.7089964518611816e+02 1.5652811005404436e+02 4.3046202991730864e-01
1.4399999999999999e+00 7.7485496997651782e-01 1.0083845311477215e+00 1.5443491954886665e-01 2.4246447779517151e+01 -4.1126382931039002e-01 1.4556349302769483e-03 1.5433331955680526e+01 1.3744807285171865e+01 9.7831411913113142e-01 1.5319349170114711e+01 -1.0644073279061384e-02 2.7206748787233455e-02 1.9768176893602803e-03 2.6665731252594627e-01 1.8614459561264682e-01 5.4785319852756899e-02 -1.0889622854723169e+02 1.7653171371760027e+02 1.5652811021118933e+02 4.3041750120898015e-01
1.4600000000000000e+00 7.7672584384762167e-01 1.0101627104554987e+00 1.5465772863593194e-01 2.4164816688715714e+01 -3.6883874355955210e-01 1.4902973155640393e-03 1.5715685214284282e+01 1.3974988009718157e+01 9.7882731417811830e-01 1.5078454268149228e+01 -1.0520948528920052e-02 2.6467871793745646e-02 1.9879866463202861e-03 2.6608599406679717e-01 1.8347631936354136e-01 5.6108864600951394e-02 -1.1291693716561943e+02 1.8268888454011136e+02 1.5652810463906218e+02 4.3037899470560559e-01
1.4800000000000000e+00 7.7820597473266395e-01 1.0068051016341659e+00 1.5490072954981046e-01 2.3955291340534473e+01 -3.4190010733005244e-01 1.4518230677606167e-03 1.5948607320875549e+01 1.4203946424517891e+01 9.7853498570492214e-01 1.4936386437968823e+01 -1.0484314625286054e-02 2.5735965461589572e-02 1.9992588284089728e-03 2.6574062283637612e-01 1.8088076414830748e-01 5.7135243566552765e-02 -1.0335067906696671e+02 1.7876205263020987e+02 1.5652809421823457e+02 4.3033449293261483e-01
1.5000000000000000e+00 7.8226736877853442e-01 1.0070498886667358e+00 1.5592532584267979e-01 2.4165357236856629e+01 -4.0997368798358036e-01 1.4079193524099327e-03 1.6178069064797878e+01 1.4436611498876287e+01 9.7762072929618926e-01 1.5013404224211765e+01 -1.0475355533281754e-02 2.5616956542737750e-02 2.0108972049395274e-03 2.5809425320121820e-01 1.7837573276603116e-01 5.9470248014413155e-02 -1.0016552274090557e+02 1.7878330482858362e+02 1.5652807405115740e+02 4.3027352038434635e-01
1.5200000000000000e+00 7.8206998963409569e-01 1.0100709619427253e+00 1.5604199463246013e-01 2.3964308502027286e+01 -4.1986158200691442e-01 1.3806603916115628e-03 1.6521704838829592e+01 1.4675821304487707e+01 9.7717638678459728e-01 1.4732008141667219e+01 -1.0347234153992965e-02 2.5753702605262496e-02 2.0229775737544840e-03 2.5846365967791551e-01 1.7593773684926997e-01 6.0567221815302996e-02 -9.7547519622651961e+01 1.7710046696785284e+02 1.5652803316215486e+02 4.3021410741720845e-01
1.5400000000000000e+00 7.8255611027726157e-01 1.0087506713410010e+00 1.5623323023699237e-01 2.3953142323743823e+01 -3.6889538914873299e-01 1.8697269253635733e-03 1.6841368071924538e+01 1.4916553263216574e+01 9.7692415521022435e-01 1.4859561450642236e+01 -1.0153871779735698e-02 2.5934503119610784e-02 2.0350080138497855e-03 2.5733078800293591e-01 1.7358388308813644e-01 5.9288024080276058e-02 -1.0397439458677930e+02 1.7654605767728336e+02 1.5652802433071037e+02 4.3017609210293029e-01
1.5600000000000001e+00 7.8307538038668345e-01 1.0065825917531095e+00 1.5623937866892579e-01 2.4051001900762436e+01 -3.9274993128682506e-01 1.6659089125896725e-03 1.7104416930092277e+01 1.5158771724423866e+01 9.7786231599860696e-01 1.4866593046291378e+01 -1.0034335012091861e-02 2.6223803709382452e-02 2.0467839673343076e-03 2.5858073852543739e-01 1.7135248154676727e-01 5.9718329748424476e-02 -9.7199909310172373e+01 1.7918314740639235e+02 1.5652803226585772e+02 4.3015895222858785e-01
1.5800000000000001e+00 7.8900886667759174e-01 1.0059601829296192e+00 1.5753596054605770e-01 2.4301104741113306e+01 -4.0141853283970685e-01 1.5059327071746309e-03 1.7430370425643162e+01 1.5407191648479202e+01 9.7823231258107923e-01 1.4868658344540606e+01 -9.8985496485253788e-03 2.6723996348563706e-02 2.0590570957854533e-03 2.5126399739293953e-01 1.6923107229166878e-01 6.3278423658636215e-02 -9.7124209232270786e+01 1.8097267491012533e+02 1.5652803522852710e+02 4.3013142020713885e-01
1.6000000000000001e+00 7.8766410500909867e-01 1.0072268771351487e+00 1.5725893997053692e-01 2.4215902481706614e+01 -3.8030025989404587e-01 1.4405156238096568e-03 1.7731502865514717e+01 1.5662114725926502e+01 9.7714063302552534e-01 1.4753291769323488e+01 -9.8050635381064823e-03 2.7304323595905917e-02 2.0720462378436143e-03 2.5062946090211563e-01 1.6715793264002909e-01 6.5786648886842214e-02 -9.0654658384320157e+01 1.8195915331189133e+02 1.5652804023199798e+02 4.3007740926870275e-01
1.6199999999999999e+00 7.8541368289722213e-01 1.0093966250730102e+00 1.5686395000401884e-01 2.4429628116683599e+01 -3.8616094605253454e-01 1.5897723106046032e-03 1.8037489553183359e+01 1.5921892954945134e+01 9.7597898055171428e-01 1.4946783651369062e+01 -9.6304949386403008e-03 2.7749047331416487e-02 2.0852379611435083e-03 2.5063410918045409e-01 1.6515019940795356e-01 6.5658879568449874e-02 -9.1149172544896444e+01 1.8355180510319698e+02 1.5652804778415307e+02 4.3003009140656301e-01
1.6399999999999999e+00 7.8417470059036287e-01 1.0068933614331721e+00 1.5658630558525816e-01 2.4296450423511498e+01 -4.0115902190704533e-01 1.8150379446860375e-03 1.8345002804167173e+01 1.6176964292212602e+01 9.7746440805322043e-01 1.4682759579727254e+01 -9.3862158452916889e-03 2.8312546687131929e-02 2.0983429328703231e-03 2.5099734842705340e-01 1.6322866976082875e-01 6.6166542606381537e-02 -8.6729881766563437e+01 1.8763477427332026e+02 1.5652804421692744e+02 4.3000705379228010e-01
1.6600000000000001e+00 7.8404172875189959e-01 1.0062350108362845e+00 1.5639246684892855e-01 2.4327897713171573e+01 -3.8339628895446354e-01 1.6507616016892160e-03 1.8638550918945153e+01 1.6435618584836472e+01 9.7779851663320705e-01 1.4683654167238100e+01 -9.2084657910377656e-03 2.8867230974119105e-02 2.1118493450348469e-03 2.4974106501351198e-01 1.6139514465872021e-01 6.9452307408284314e-02 -8.2204123397479748e+01 1.9216099563882636e+02 1.5652803733416215e+02 4.2997146955147708e-01
1.6800000000000002e+00 7.8809279364676388e-01 1.0064873268050851e+00 1.5728154479098286e-01 2.4231480127841095e+01 -3.9848718218448831e-01 1.5666224954993130e-03 1.8994554698439771e+01 1.6698027077761132e+01 9.7624794459837716e-01 1.4567276108508205e+01 -8.9970910988320992e-03 2.9373648813858937e-02 2.1261376067190051e-03 2.4574751652002744e-01 1.5962881794742109e-01 7.2806816454643777e-02 -8.0354249395713850e+01 1.9360202797051303e+02 1.5652802494590452e+02 4.2991173166666691e-01
1.7000000000000000e+00 7.8794278099509074e-01 1.0080840084407767e+00 1.5722855413877199e-01 2.4332956376313646e+01 -3.6059315899210093e-01 1.6045491590075188e-03 1.9267540811371376e+01 1.6965188935118938e+01 9.7605567857290576e-01 1.4636786419110106e+01 -8.8134613160728154e-03 2.9966757605453736e-02 2.1409098141530825e-03 2.4678879859737538e-01 1.5792468777853197e-01 7.4979768047862966e-02 -7.8803554203930005e+01 1.8831450237052294e+02 1.5652797629377665e+02 4.2985171454231552e-01
1.7200000000000000e+00 7.8602231826302993e-01 1.0102569037511575e+00 1.5671880479914974e-01 2.4320606016772008e+01 -3.4188263908356109e-01 1.6263426408043506e-03 1.9502335658934967e+01 1.7240639695520972e+01 9.7552982590690807e-01 1.4795400670185991e+01 -8.5996715187189182e-03 3.0478408962324420e-02 2.1560903263250671e-03 2.4948713074057902e-01 1.5630064433376462e-01 7.6606942554969498e-02 -7.8643381703994990e+01 1.9252679066378423e+02 1.5652795483275119e+02 4.2980798447365443e-01
1.7400000000000002e+00 7.8705345613824906e-01 1.0075665875633433e+00 1.5695413429013666e-01 2.4243508199851007e+01 -4.6087161849757158e-01 1.7156640989654016e-03 1.9733550571546015e+01 1.7518224462919505e+01 9.7546080195874241e-01 1.4789340898817386e+01 -8.4629638066109208e-03 3.0744560767368340e-02 2.1715196585684717e-03 2.5053488970156762e-01 1.5476413652888940e-01 7.7551117287084262e-02 -7.7407459697383032e+01 1.9599484292023496e+02 1.5652797600149574e+02 4.2978008015081037e-01
1.7600000000000002e+00 7.8896408179614219e-01 1.0064846968939007e+00 1.5737810695527235e-01 2.4565999836220698e+01 -4.2425043594619521e-01 1.7563740408233415e-03 2.0016841535162111e+01 1.7797261004460061e+01 9.7621525184738178e-01 1.4860766849727005e+01 -8.5967455298019517e-03 3.0835236269959709e-02 2.1871596999101920e-03 2.5054366642804859e-01 1.5331911958012484e-01 7.9280289437302823e-02 -7.7958027184601178e+01 1.9422679507626904e+02 1.5652799131295120e+02 4.2976538351121163e-01
1.7800000000000000e+00 7.9170058923198261e-01 1.0068112496605093e+00 1.5789896480614538e-01 2.4943800140521777e+01 -4.6156919204751523e-01 1.6540694579992847e-03 2.0150114110147996e+01 1.8083256207522496e+01 9.7672058880457668e-01 1.5151550265080017e+01 -8.6939857661302734e-03 3.1257881899037041e-02 2.2033421213450799e-03 2.4968897389675249e-01 1.5195472346955319e-01 8.3063586622183591e-02 -7.7552300174694821e+01 1.9594897538814470e+02 1.5652799108848711e+02 4.2974042814600844e-01
1.8000000000000000e+00 7.9081282921707508e-01 1.0065665578152672e+00 1.5772497797985321e-01 2.4494365050876326e+01 -4.7260495305749284e-01 1.6640117631575280e-03 2.0209055260845577e+01 1.8374253603704936e+01 9.7580705270039525e-01 1.5174204359521747e+01 -8.8866960509255861e-03 3.1677469172570395e-02 2.2203973338884033e-03 2.5099215253974227e-01 1.5066900154301721e-01 8.6894496696588469e-02 -7.4712321507759484e+01 1.8895358077571279e+02 1.5652799369583425e+02 4.2970298049051464e-01
1.8199999999999998e+00 7.8731638599889631e-01 1.0058669817652437e+00 1.5699403495941119e-01 2.4248524540785493e+01 -5.3064426880808224e-01 1.8270035921233254e-03 2.0212806762866574e+01 1.8671147507065456e+01 9.7630558432661474e-01 1.4948063141618663e+01 -8.8581629306524363e-03 3.2171828699415171e-02 2.2380681225009163e-03 2.5334851887988885e-01 1.4947404188258545e-01 9.0048313987339965e-02 -7.1204787531540575e+01 1.9169771191733051e+02 1.5652799195823781e+02 4.2967074968494451e-01
1.8400000000000003e+00 7.8566877731016316e-01 1.0073969899924562e+00 1.5654488977756059e-01 2.4383545851145623e+01 -4.9356128428564044e-01 1.6579581394681926e-03 2.0143524806170593e+01 1.8974278390787788e+01 9.7632066652817950e-01 1.4942238057091846e+01 -9.1138655188286039e-03 3.2820620586019589e-02 2.2564209170850766e-03 2.5379927485747861e-01 1.4837102715683748e-01 9.3543910682012538e-02 -7.0167714091694990e+01 1.9570725162294855e+02 1.5652798746142022e+02 4.2962703671732672e-01
1.8600000000000001e+00 7.9006255222239896e-01 1.0073683799293509e+00 1.5757537867213750e-01 2.4035643669960500e+01 -4.8771531174600796e-01 1.6547015170339664e-03 2.0089543131201197e+01 1.9279833223504205e+01 9.7484004591911622e-01 1.5031986654149456e+01 -9.4459250863119047e-03 3.3478689120124416e-02 2.2754148333488512e-03 2.5343232878085753e-01 1.4734145029744136e-01 9.5799709709989786e-02 -6.7273594566994745e+01 1.9212207452580810e+02 1.5652798610623242e+02 4.2956886234364405e-01
1.8800000000000001e+00 7.9401329849702540e-01 1.0071574841042357e+00 1.5833779064990736e-01 2.4169470786778124e+01 -4.6302062902629543e-01 1.8856916351329127e-03 1.9971463146098873e+01 1.9586789574301150e+01 9.7464435792711090e-01 1.5085080735021773e+01 -9.6917693743166396e-03 3.3964157568173683e-02 2.2946656350350462e-03 2.5566908467981125e-01 1.4639431009194750e-01 9.6572560170803887e-02 -7.3152562965318751e+01 1.9538481525154580e+02 1.5652794804228262e+02 4.2952028341851117e-01
1.8999999999999999e+00 7.9202240282721903e-01 1.0083096762900305e+00 1.5804394079483691e-01 2.4486431302474411e+01 -4.8358813343743384e-01 1.8466940310739003e-03 1.9977591195824555e+01 1.9899046580791179e+01 9.7541559634167341e-01 1.5189024509843033e+01 -9.8569103223626747e-03 3.4383292890883765e-02 2.3141065627967036e-03 2.5757920472746626e-01 1.4554529054474760e-01 9.8631026612098022e-02 -6.8252899628281256e+01 1.9115150556895793e+02 1.5652789533451951e+02 4.2948283165197493e-01
1.9199999999999999e+00 7.9342962919963267e-01 1.0075891073572940e+00 1.5837191793804523e-01 2.4120788780114786e+01 -4.9079938779065319e-01 1.7843937604271778e-03 1.9900568157142729e+01 2.0217533927794165e+01 9.7501287717656915e-01 1.4941036344410314e+01 -1.0073183205270852e-02 3.4846139604330827e-02 2.3341806082579674e-03 2.5885087218308689e-01 1.4478994438300810e-01 1.0196241080497472e-01 -7.2026779558205135e+01 2.0110163721648527e+02 1.5652790817183870e+02 4.2945090418274673e-01
1.9400000000000002e+00 7.9583538377630803e-01 1.0060231876371177e+00 1.5885638345133490e-01 2.4426336733922039e+01 -4.9842012861228507e-01 1.9306343821927888e-03 1.9801234654965757e+01 2.0540330680130310e+01 9.7468990377245168e-01 1.5196920384545002e+01 -1.0331239833640113e-02 3.5205992102366988e-02 2.3548201552631830e-03 2.6005287018397721e-01 1.4412071787092326e-01 1.0383072192441788e-01 -6.8706899521446459e+01 1.9408229454920155e+02 1.5652794786769246e+02 4.2942177363384493e-01
