TITLE     = "Coleman, Rumsey & Spalart (JFM 2018)"
VARIABLES = "x"
"Cp_wall"
"Ue_tilde"
"\\delta995"
"\\delta*"
"\\theta"
"Rtheta=Uinf*\\theta/\\nu"
"\\gamma_r"
"C_f=\\tau_wall/0.5\\rho Uinf^2"
ZONE T="Case C:locally averaged in x"
 STRANDID=0, SOLUTIONTIME=0
 I=6499, J=1, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE )
 -1.334921932E+01 2.088397974E-03 9.982722998E-01 1.254621148E-01 2.027707547E-02 1.382990275E-02 1.106391479E+03 1.545250067E-03 4.063360393E-03
 -1.334583282E+01 2.087568399E-03 9.982755184E-01 1.254671365E-01 2.027764171E-02 1.383036003E-02 1.106428223E+03 1.545400475E-03 4.063405097E-03
 -1.334244823E+01 2.085913206E-03 9.982818961E-01 1.254771352E-01 2.027876861E-02 1.383127458E-02 1.106501221E+03 1.545700245E-03 4.063493107E-03
 -1.333906174E+01 2.083440544E-03 9.982914925E-01 1.254920661E-01 2.028045431E-02 1.383263990E-02 1.106610596E+03 1.546147279E-03 4.063624889E-03
 -1.333567715E+01 2.080162056E-03 9.983042479E-01 1.255119145E-01 2.028269321E-02 1.383445412E-02 1.106755615E+03 1.546738436E-03 4.063799512E-03
 -1.333229160E+01 2.076093806E-03 9.983201623E-01 1.255365908E-01 2.028547600E-02 1.383670978E-02 1.106936035E+03 1.547469757E-03 4.064015578E-03
 -1.332890606E+01 2.071255352E-03 9.983391762E-01 1.255660206E-01 2.028879151E-02 1.383939758E-02 1.107151123E+03 1.548336470E-03 4.064272158E-03
 -1.332552147E+01 2.065669512E-03 9.983612895E-01 1.256000996E-01 2.029263228E-02 1.384250913E-02 1.107400024E+03 1.549332752E-03 4.064567853E-03
 -1.332213497E+01 2.059363062E-03 9.983863235E-01 1.256387234E-01 2.029698342E-02 1.384603325E-02 1.107681885E+03 1.550452551E-03 4.064901266E-03
 -1.331875038E+01 2.052365337E-03 9.984142780E-01 1.256817877E-01 2.030182630E-02 1.384995505E-02 1.107995728E+03 1.551689114E-03 4.065270536E-03
 -1.331536484E+01 2.044709399E-03 9.984449744E-01 1.257290989E-01 2.030714042E-02 1.385426056E-02 1.108340088E+03 1.553035108E-03 4.065674264E-03
 -1.331197929E+01 2.036430174E-03 9.984782934E-01 1.257805526E-01 2.031290531E-02 1.385893300E-02 1.108713989E+03 1.554483315E-03 4.066110589E-03
 -1.330859375E+01 2.027565846E-03 9.985141754E-01 1.258359700E-01 2.031910047E-02 1.386395469E-02 1.109115723E+03 1.556026051E-03 4.066576716E-03
 -1.330520821E+01 2.018156229E-03 9.985523224E-01 1.258952022E-01 2.032569796E-02 1.386930514E-02 1.109543701E+03 1.557655982E-03 4.067071714E-03
 -1.330182266E+01 2.008242998E-03 9.985924363E-01 1.259580851E-01 2.033267170E-02 1.387496293E-02 1.109996460E+03 1.559365541E-03 4.067593720E-03
 -1.329843712E+01 1.997869462E-03 9.986343980E-01 1.260244101E-01 2.033999190E-02 1.388090663E-02 1.110471924E+03 1.561147626E-03 4.068139941E-03
 -1.329505157E+01 1.987080555E-03 9.986779094E-01 1.260940135E-01 2.034762502E-02 1.388711203E-02 1.110968384E+03 1.562995487E-03 4.068708979E-03
 -1.329166698E+01 1.975921215E-03 9.987226725E-01 1.261666715E-01 2.035553940E-02 1.389355399E-02 1.111483765E+03 1.564902719E-03 4.069298506E-03
 -1.328828144E+01 1.964437310E-03 9.987683892E-01 1.262422204E-01 2.036369592E-02 1.390020642E-02 1.112016113E+03 1.566863502E-03 4.069907125E-03
 -1.328489590E+01 1.952674938E-03 9.988147020E-01 1.263204813E-01 2.037206478E-02 1.390704419E-02 1.112563232E+03 1.568872482E-03 4.070532974E-03
 -1.328151035E+01 1.940679620E-03 9.988613129E-01 1.264012456E-01 2.038060501E-02 1.391403936E-02 1.113122803E+03 1.570924884E-03 4.071174189E-03
 -1.327812481E+01 1.928496524E-03 9.989078045E-01 1.264843345E-01 2.038928308E-02 1.392116584E-02 1.113692993E+03 1.573016518E-03 4.071830306E-03
 -1.327474022E+01 1.916169538E-03 9.989537001E-01 1.265695542E-01 2.039805986E-02 1.392839756E-02 1.114271606E+03 1.575144008E-03 4.072498530E-03
 -1.327135372E+01 1.903741620E-03 9.989987612E-01 1.266567558E-01 2.040689811E-02 1.393570751E-02 1.114856445E+03 1.577304094E-03 4.073179327E-03
 -1.326796913E+01 1.891254215E-03 9.990426302E-01 1.267457604E-01 2.041576058E-02 1.394307148E-02 1.115445557E+03 1.579494565E-03 4.073870368E-03
 -1.326458263E+01 1.878746552E-03 9.990848303E-01 1.268364489E-01 2.042461373E-02 1.395046338E-02 1.116036987E+03 1.581713324E-03 4.074571654E-03
 -1.326119804E+01 1.866255887E-03 9.991250038E-01 1.269286275E-01 2.043342590E-02 1.395786181E-02 1.116628906E+03 1.583958860E-03 4.075281322E-03
 -1.325781250E+01 1.853817259E-03 9.991629720E-01 1.270221770E-01 2.044216543E-02 1.396524534E-02 1.117219604E+03 1.586229773E-03 4.075999372E-03
 -1.325442696E+01 1.841462916E-03 9.991983175E-01 1.271169633E-01 2.045080625E-02 1.397259533E-02 1.117807617E+03 1.588525251E-03 4.076724406E-03
 -1.325104237E+01 1.829222310E-03 9.992306828E-01 1.272128671E-01 2.045932040E-02 1.397989318E-02 1.118391357E+03 1.590844011E-03 4.077455960E-03
